general,,,,,,,,conciència del sentir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elecció personal,,,,,,responsabilidad individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entorn - Què passa? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ids,consentiment,dades demogràfiques,,,,,,"1. Últimament, amb quina freqüència has sentit les següents emocions?",,,,,,,,,,,,,,,,,,,,,,,,"Voldríem mirar algunes emocions més. D’aquestes altres, selecciona sols aquelles que últimament hagis sentit",,,,,,,,,,,,,,,,,,2. Sabries explicar com se senten últimament…?,,,,"3. Com esteu vivint emocionalment, tu i les persones de la teva edat, el moment actual? ","1. Últimament, quan vull donar resposta a una situació emocionalment complexa, jo...","2. Últimament, quan sento estrès, por, tristesa, ràbia o alguna altre emoció desagradable, jo...","3. Últimament, davant de moments de complexitat emocional, jo... ",,,,"1. Davant de les diferents emocions que apareixen en situacions complexes, quins comportaments tens? Què fas? (marca totes les que facis)",reactividad - freeze,reactividad - lucha,reactividad - huir,reactividad - mochila,reactividad - mochila,reactividad - chubasquero,reactividad - chubasquero,descongestión - expresión,descongestión - ayuda,descongestión - amor,descongestión - descanso,descongestión - fluir,sugestión - buscar alternativas,sugestión - cambiar mirada,sugestión - ganar amplitud,digestión - aceptación,digestión - comprensión/aprendizaje,"digestión - dejar ir/soltar, me dejo crecer","2. Si sents angoixa, disgust o tristesa profunda, a qui recorres? (marca totes les que creguis que tenen a veure amb el que fas)",,,,,,,,,"1. Pensa en les relacions que has tingut últimament (amb les teves amistats, família, comunitat escolar, etc.). Quan ha sigut l’última vegada que has sentit que algú et preguntava de veritat, amb ànim de saber la teva resposta, com et sents?",,,,"2. Últimament, com estàs vivint emocionalment les següents situacions?",,,,,,,,,,,,,,,,,,,"3.Has viscut altres situacions emocionalment complexes, més enllà de les que t'hem proposat a l'anterior pregunta? Com t'has sentit? (recorda que aquesta informació és anònima):",,"4.Quan et sents malament, emocionalment parlant, com preferiries que les persones del teu entorn t’ajudessin?  ",,"5.Quins recursos, serveis, activitats trobes al teu abast, al teu entorn, que ajuden a potenciar el teu benestar emocional?",
44167.43673,Accepto,16,1r Batx.,Vilanova i la Geltrú,Femella,Dona,3,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,"Enyorança, Frustració, Gratitud, Il·lusió, Remordiment",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,No sé com se senten de veritat,Sé com se senten però no sabria com explicar-ho,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Escullo mirar el que sento, escoltar-me, entendre’m, cuidar-me per així poder-me sentir millor.",Sempre,Algunes vegades,Sempre,Algunes vegades,"Faig com si res i m'evadeixo de les meves emocions., M’ho guardo, prefereixo no expressar com estic o com em sento., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Busco alternatives per resoldre el que sento., Prenc distància per mirar i comprendre el millor possible el que em passa., Comprenc el que sento i trec aprenentatges que m’enforteixen.",0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,"Amistats, Familiars, A mi mateix/a",1,1,0,0,0,0,1,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 2-3 setmanes,Fa 2-4 mesos,Em sento bé,Em sento bé,No ho he viscut,No ho he viscut,Em sento bé,No ho he viscut,No sé com em sento,No sé com em sento,Em sento malament,No sé com em sento,No sé com em sento,Em sento bé,No sé com em sento,Em sento bé,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,No ho he viscut,no,,escoltant-me. no cal que em diguin ningún consell. Simplement que estiguin amb mi,,sortir amb els amics.,
44167.4368,Accepto,16,1r Batx.,Cubelles,Femella,Dona,2,Freqüentment,Freqüentment,Algunes vegades,Poc,Poc,Gens,Freqüentment,Poc,Algunes vegades,Gens,Gens,Algunes vegades,Algunes vegades,Gens,Poc,Poc,Freqüentment,Freqüentment,Algunes vegades,Poc,Poc,Algunes vegades,Poc,Poc,"Enyorança, Esperança, Frustració",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho,Sé com se senten però no sabria com explicar-ho,Sabria explicar-ho,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Sempre,Algunes vegades,Sempre,Algunes vegades,"Em bloquejo. Em costa respondre., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.)., Em cuido, em mimo, connecto amb el meu benestar., Comprenc el que sento i trec aprenentatges que m’enforteixen.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,"Amistats, Familiars",1,1,0,0,0,0,0,,Aquesta setmana o l’anterior,Fa 2-3 setmanes,Fa 1 mes,No m'ho han preguntat,Em sento bé,Em sento bé,No sé com em sento,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,No sé com em sento,Em sento bé,No sé com em sento,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,No sé com em sento,Em sento bé,No ho he viscut,No ho he viscut,No ho he viscut,No,,Estant al meu costat ,,"Equitació, caminar amb el gos per la platja...",
44167.43684,Accepto,16,1r Batx.,Vilanova i la Geltrú,Mascle,Home,3,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,"Angoixa, Culpa, Desesperació, Enyorança, Frustració, Gratitud",0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,No sé com se senten de veritat,No sé com se senten de veritat,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Si miro el que sento al final em sento pitjor, em poso de mal humor i em genera conflictes",Algunes vegades,Algunes vegades,Sempre,Poc o no gaire,"Em bloquejo. Em costa respondre., Perdo el control i puc arribar a tenir conductes conflictives., Accepto el que em passa i em permeto sentir-ho sense jutjar-me.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Amistats, Familiars, A mi mateix/a",1,1,0,0,0,0,1,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 2-4 mesos,No m'ho han preguntat,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,Em sento bé,No ho he viscut,No sé com em sento,Em sento malament,No ho he viscut,Em sento bé,No sé com em sento,Em sento bé,Em sento malament,Em sento bé,No sé com em sento,Em sento malament,No ho he viscut,No ho he viscut,No ho he viscut,"No
",,Mama,,Basquet,
44167.43698,Accepto,16,1r Batx.,Vilanova i la Geltrú,Femella,Dona,3,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,"Angoixa, Enyorança, Esperança, Gratitud, Il·lusió, Temor",0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,Sabria explicar-ho,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,No sé com se senten de veritat,Sabria explicar-ho,"c. Entenem la realitat actual i, tot i que ens fa mal, trobem espais per expressar i intentar donar-li sentit.","M’escolto i em situo en el meu benestar, escullo l’opció que m’ajuda a sentir-me verdaderament millor.","Si miro el que sento al final em sento pitjor, em poso de mal humor i em genera conflictes",Algunes vegades,Poc o no gaire,Sempre,Sempre,"Em bloquejo. Em costa respondre., Faig com si res i m'evadeixo de les meves emocions., M’ho guardo, prefereixo no expressar com estic o com em sento., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Descanso de les emocions difícils per recarregar energia, llavors les abordo.",1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Amistats, Familiars, Professionals de la salut (psicòlegs/gues, infermeres/es, etc.)",1,1,1,0,0,0,0,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 1 mes,No m'ho han preguntat,Em sento bé,Em sento bé,Em sento bé,Em sento bé,Em sento bé,No ho he viscut,No ho he viscut,No sé com em sento,No sé com em sento,Em sento malament,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,Em sento malament,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,No,,Demostrant-me que están al meu costat pasi el que pasi.,,"La meva psicologa, els meus amics, la meva familia i l'esport",
44167.43701,Accepto,16,1r Batx.,Vilanova i la Geltrú,Femella,Dona,2,Freqüentment,Algunes vegades,Poc,Freqüentment,Algunes vegades,Gens,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Algunes vegades,Poc,Freqüentment,Poc,Freqüentment,Poc,Algunes vegades,Poc,Poc,Poc,Algunes vegades,Poc,Algunes vegades,Poc,"Angoixa, Enyorança, Frustració, Il·lusió",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho,Sé com se senten però no sabria com explicar-ho,Sé com se senten però no sabria com explicar-ho,a. Preferim fer coses que ens distreguin del que està passant i del que sentim.,"Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Si miro el que sento al final em sento pitjor, em poso de mal humor i em genera conflictes",Algunes vegades,Algunes vegades,Sempre,Sempre,"Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Busco i/o demano ajuda., Busco altres punts de vista que m’ajudin a sentir-me millor., Deixo anar el que ja no necessito ni em fa bé, em deixo ser la millor versió de mi.",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,"Amistats, Familiars, Professionals de la salut (psicòlegs/gues, infermeres/es, etc.)",1,1,1,0,0,0,0,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 1 mes,Fa 5-6 mesos,No sé com em sento,Em sento bé,Em sento bé,No ho he viscut,Em sento bé,No sé com em sento,No ho he viscut,Em sento bé,Em sento malament,Em sento malament,Em sento bé,No sé com em sento,Em sento bé,Em sento bé,Em sento malament,No ho he viscut,No ho he viscut,Em sento malament,No ho he viscut,No veure la meva familia,relacional? ,Escoltant-me i donant solucions,,Amistat i familia,
44167.4371,Accepto,16,1r Batx.,Vilanova i la Geltrú,Femella,Dona,2,Freqüentment,Poc,Algunes vegades,Algunes vegades,Poc,Gens,Freqüentment,Freqüentment,Poc,Gens,Gens,Algunes vegades,Freqüentment,Gens,Algunes vegades,Freqüentment,Algunes vegades,Poc,Algunes vegades,Freqüentment,Poc,Poc,Algunes vegades,Gens,"Enyorança, Esperança",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sé com se senten però no sabria com explicar-ho,No sé com se senten de veritat,No sé com se senten de veritat,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Algunes vegades,Poc o no gaire,Sempre,Sempre,"Em bloquejo. Em costa respondre., M’ho guardo, prefereixo no expressar com estic o com em sento., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Busco alternatives per resoldre el que sento., Deixo anar el que ja no necessito ni em fa bé, em deixo ser la millor versió de mi.",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Amistats, Familiars",1,1,0,0,0,0,0,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 2-3 setmanes,No m'ho han preguntat,No sé com em sento,Em sento bé,No sé com em sento,No ho he viscut,No sé com em sento,No ho he viscut,Em sento malament,No sé com em sento,Em sento bé,No ho he viscut,No sé com em sento,Em sento bé,No sé com em sento,Em sento bé,Em sento malament,Em sento malament,No sé com em sento,No ho he viscut,No ho he viscut,No,,"Apojant-me, estant allà en els moments en els que els necessiti... ",,Amistats i família. ,
44167.43802,Accepto,16,1r Batx.,Vilanova i la Geltrú,Femella,Dona,3,Freqüentment,Algunes vegades,Algunes vegades,Poc,Algunes vegades,Gens,Freqüentment,Poc,Gens,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Gens,Poc,Algunes vegades,Algunes vegades,Algunes vegades,Poc,Poc,Algunes vegades,Algunes vegades,Algunes vegades,Poc,"Culpa, Frustració, Il·lusió",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Sabria explicar-ho,Sabria explicar-ho,No sé com se senten de veritat,No sé com se senten de veritat,e. Aquesta situació ens ha donat l’oportunitat d’aprendre i això ens ajuda a afrontar el moment amb benestar.,"Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Em poso a pensar en que he fet malament i em rallo el cap, sempre penso que soc jo la que fa les coses malament i en conclusio, tot el que em pasa es per algun motiu",Algunes vegades,Algunes vegades,Poc o no gaire,Poc o no gaire,"M’ho guardo, prefereixo no expressar com estic o com em sento.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ningú, A vegades, depen de la situacio, parlo amb algun amic o amiga que em pugui ajudar.",1,0,0,0,0,1,0,"A vegades, depen de la situacio, parlo amb algun amic o amiga que em pugui ajudar.",Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 2-3 setmanes,Fa 2-3 setmanes,Em sento bé,Em sento bé,Em sento bé,No sé com em sento,No sé com em sento,No ho he viscut,Em sento malament,Em sento bé,No sé com em sento,No sé com em sento,Em sento bé,Em sento bé,Em sento bé,Em sento bé,Em sento bé,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,No he viscut,,Donant-me la seva opinio sobre el meu problema,,.,
44167.43837,Accepto,16,1r Batx.,Sant Pere de Ribes,Mascle,Home,1,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Poc,Poc,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Poc,Poc,Algunes vegades,Poc,Algunes vegades,Freqüentment,Poc,Poc,Poc,Algunes vegades,Poc,Poc,Poc,Algunes vegades,"Angoixa, Frustració, Pànic",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Sé com se senten però no sabria com explicar-ho,Sabria explicar-ho,No sé com se senten de veritat,No sé com se senten de veritat,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Si miro el que sento al final em sento pitjor, em poso de mal humor i em genera conflictes",Poc o no gaire,Algunes vegades,Algunes vegades,Sempre,"Em bloquejo. Em costa respondre., Perdo el control i puc arribar a tenir conductes conflictives., M’ho guardo, prefereixo no expressar com estic o com em sento., Em cuido, em mimo, connecto amb el meu benestar., Busco altres punts de vista que m’ajudin a sentir-me millor.",1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Amistats, A mi mateix/a",1,0,0,0,0,0,1,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 1 mes,Fa 1 mes,Em sento malament,Em sento bé,No sé com em sento,No sé com em sento,No ho he viscut,Em sento bé,Em sento malament,Em sento malament,Em sento malament,Em sento malament,Em sento bé,No sé com em sento,Em sento malament,Em sento malament,No sé com em sento,Em sento bé,No ho he viscut,No ho he viscut,No ho he viscut,No,,Dejándome en paz ,,El cannabis ,
44167.43881,Accepto,16,1r Batx.,Vilanova i la Geltrú,Mascle,Home,3,Freqüentment,Freqüentment,Freqüentment,Gens,Gens,Gens,Freqüentment,Gens,Poc,Algunes vegades,Poc,Freqüentment,Poc,Poc,Algunes vegades,Gens,Freqüentment,Freqüentment,Freqüentment,Gens,Freqüentment,Algunes vegades,Gens,Gens,"Enyorança, Esperança, Il·lusió, Pau, Plenitud",0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,Sabria explicar-ho,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sé com se senten però no sabria com explicar-ho,No sé com se senten de veritat,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Escullo mirar el que sento, escoltar-me, entendre’m, cuidar-me per així poder-me sentir millor.",Algunes vegades,Algunes vegades,Sempre,Sempre,"Em bloquejo. Em costa respondre., M’ho guardo, prefereixo no expressar com estic o com em sento., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.)., Busco alternatives per resoldre el que sento., Comprenc el que sento i trec aprenentatges que m’enforteixen.",1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,"Amistats, Familiars, Professionals de l’educació (monis, entrenadors/es, profes, etc.), A mi mateix/a",1,1,0,1,0,0,1,,Aquesta setmana o l’anterior,Fa 1 mes,Fa 2-3 setmanes,Fa 5-6 mesos,Em sento bé,Em sento bé,Em sento bé,No sé com em sento,No ho he viscut,No ho he viscut,Em sento malament,Em sento bé,Em sento malament,Em sento bé,Em sento bé,Em sento bé,Em sento bé,Em sento bé,Em sento bé,No sé com em sento,No ho he viscut,No ho he viscut,No ho he viscut,No,,Parlan't amb mi,,Musica,
44167.43938,Accepto,16,1r Batx.,Vilanova i la Geltrú,Femella,Dona,2,Freqüentment,Freqüentment,Algunes vegades,Poc,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Poc,Freqüentment,Poc,Algunes vegades,Algunes vegades,Poc,Algunes vegades,Gens,Poc,Algunes vegades,Algunes vegades,"Alleujament, Angoixa, Desesperació, Enyorança, Frustració, Gratitud, Pànic, Plenitud",1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho,No sé com se senten de veritat,Sé com se senten però no sabria com explicar-ho,a. Preferim fer coses que ens distreguin del que està passant i del que sentim.,"Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Escullo mirar el que sento, escoltar-me, entendre’m, cuidar-me per així poder-me sentir millor.",Algunes vegades,Algunes vegades,Sempre,Algunes vegades,"Em bloquejo. Em costa respondre., Perdo el control i puc arribar a tenir conductes conflictives., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.)., Em cuido, em mimo, connecto amb el meu benestar., Prenc distància per mirar i comprendre el millor possible el que em passa., Accepto el que em passa i em permeto sentir-ho sense jutjar-me., Comprenc el que sento i trec aprenentatges que m’enforteixen.",1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,"Amistats, Familiars, A mi mateix/a",1,1,0,0,0,0,1,,Aquesta setmana o l’anterior,Aquesta setmana o l’anterior,Fa 2-3 setmanes,Fa 2-3 setmanes,Em sento bé,Em sento bé,No sé com em sento,No sé com em sento,No sé com em sento,No sé com em sento,Em sento malament,No sé com em sento,Em sento malament,No sé com em sento,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,No sé com em sento,Em sento bé,No ho he viscut,Em sento malament,Em sento malament,No,,Escoltant me i buscant maneres d’ajudar me ,,Serveis de centres per joves,
44167.44074,Accepto,16,1r Batx.,Vilanova i la Geltrú,Femella,Dona,3,Freqüentment,Freqüentment,Poc,Poc,Algunes vegades,Poc,Algunes vegades,Algunes vegades,Poc,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Poc,Poc,Algunes vegades,Freqüentment,Algunes vegades,Poc,Algunes vegades,Freqüentment,Poc,"Angoixa, Desesperació, Enyorança, Esperança, Frustració",0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,No sé com se senten de veritat,Sé com se senten però no sabria com explicar-ho,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","M’escolto i em situo en el meu benestar, escullo l’opció que m’ajuda a sentir-me verdaderament millor.","Miro el que sento, però com que no sé què fer, al final miro cap a una altra banda",Sempre,Algunes vegades,Algunes vegades,Algunes vegades,"Em bloquejo. Em costa respondre., Faig com si res i m'evadeixo de les meves emocions., M’ho guardo, prefereixo no expressar com estic o com em sento., Descanso de les emocions difícils per recarregar energia, llavors les abordo., No em deixo portar per la situació, procuro el millor per a mi., Busco alternatives per resoldre el que sento., Deixo anar el que ja no necessito ni em fa bé, em deixo ser la millor versió de mi.",1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,Amistats,1,0,0,0,0,0,0,,Fa 2-3 setmanes,Aquesta setmana o l’anterior,Fa 1 mes,No m'ho han preguntat,No sé com em sento,Em sento bé,Em sento bé,No sé com em sento,Em sento bé,No ho he viscut,No ho he viscut,Em sento bé,Em sento bé,No ho he viscut,No sé com em sento,Em sento bé,Em sento bé,No sé com em sento,Em sento malament,Em sento bé,Em sento bé,Em sento bé,Em sento bé,no ,,"intento que no notin que estic malament, si necessito ajuda i la demano, m’agradaria que m’entenguessin i busquessin una solució amb mi ",,ningún,
44167.4436,Accepto,17,2n Batx.,Vilanova i la Geltrú,Mascle,Home,2,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Poc,Freqüentment,Freqüentment,Algunes vegades,Freqüentment,Algunes vegades,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Algunes vegades,Algunes vegades,Enyorança,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho i podria dir com em fan sentir a mi les seves emocions,Sabria explicar-ho,Sabria explicar-ho,"b. No ens agrada el que estem vivint ni estem d’acord amb com s'està gestionant, però bueno... és el que hi ha.","Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Escullo mirar el que sento, escoltar-me, entendre’m, cuidar-me per així poder-me sentir millor.",Algunes vegades,Sempre,Sempre,Sempre,"M’ho guardo, prefereixo no expressar com estic o com em sento., Intento donar-me espais per expressar el que sento (ex. dibuixar, ballar, escriure, parlar amb algú, etc.)., Em cuido, em mimo, connecto amb el meu benestar., Accepto el que em passa i em permeto sentir-ho sense jutjar-me.",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"Amistats, Familiars",1,1,0,0,0,0,0,,Fa 1 mes,Aquesta setmana o l’anterior,No m'ho han preguntat,Fa 2-3 setmanes,Em sento bé,Em sento bé,No sé com em sento,No sé com em sento,Em sento bé,No ho he viscut,No ho he viscut,Em sento bé,Em sento bé,No ho he viscut,Em sento bé,Em sento bé,Em sento malament,Em sento bé,Em sento bé,Em sento bé,No ho he viscut,No ho he viscut,No ho he viscut,"Enamorar-me, és duríssim.",relacional? ,Recolzant-me i estan amb mi.,,Amics sobretot,
44167.44479,Accepto,17,2n Batx.,Vilanova i la Geltrú,Femella,Dona,2,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Freqüentment,Poc,Algunes vegades,Freqüentment,Freqüentment,Freqüentment,Algunes vegades,Algunes vegades,Algunes vegades,Poc,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Algunes vegades,Poc,Poc,Freqüentment,Poc,"Angoixa, Enyorança, Frustració",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,No sé com se senten de veritat,Sabria explicar-ho,No sé com se senten de veritat,Sabria explicar-ho,e. Aquesta situació ens ha donat l’oportunitat d’aprendre i això ens ajuda a afrontar el moment amb benestar.,"Em mostro segons el que conec de mi, escullo depenent del que vull mostrar o deixar veure en aquell moment.","Si miro el que sento al final em sento pitjor, em poso de mal humor i em genera conflictes",Algunes vegades,Poc o no gaire,Algunes vegades,Poc o no gaire,"M’ho guardo, prefereixo no expressar com estic o com em sento., Em pressiono tractant de resoldre tot el que passa, fins i tot quan no és la meva responsabilitat.",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Amistats, Ningú, A mi mateix/a",1,0,0,0,0,1,1,,Fa 2-4 mesos,Aquesta setmana o l’anterior,No m'ho han preguntat,No m'ho han preguntat,No sé com em sento,Em sento bé,No sé com em sento,No ho he viscut,No ho he viscut,Em sento bé,No sé com em sento,Em sento malament,No sé com em sento,Em sento malament,No sé com em sento,Em sento bé,No sé com em sento,No sé com em sento,Em sento malament,Em sento bé,Em sento bé,Em sento bé,No sé com em sento,separació de pares,familia? Duelo? Separación?,simplement estant allà,,"activitats a l'aire lliure, escoltar música, algunes series de TV",
